front,back,deck_id
Alabama,Montgomery,2
Alaska,Juneau,2
Arizona,Phoenix,2
Arkansas,Little Rock,2
California,Sacramento,2
Colorado,Denver,2
Connecticut,Hartford,2
Delaware,Dover,2
Florida,Tallahassee,2
Georgia,Atlanta,2
Hawaii,Honolulu,2
Idaho,Boise,2
Illinois,Springfield,2
Indiana,Indianapolis,2
Iowa,Des Moines,2
Kansas,Topeka,2
Kentucky,Frankfort,2
Louisiana,Baton Rouge,2
Maine,Augusta,2
Maryland,Annapolis,2
Massachusetts,Boston,2
Michigan,Lansing,2
Minnesota,Minneapolis,2
Mississippi,Jackson,2
Missouri,St. Louis,2
Montana,Helena,2
Nebraska,Lincoln,2
Nevada,Reno,2
New Hampshire,Concord,2
New Jersey,Trenton,2
New Mexico,Albuquerque,2
New York,Albany,2
North Carolina,Raliegh,2
North Dakota,Bismark,2
Ohio,Columbus,2
Oklahoma,Oklahoma City,2
Oregon,Salem,2
Pennsylvania,Harrisburg,2
Rhode Island,Providence,2
South Carolina,Columbia,2
South Dakota,Pierre,2
Tennessee,Nashville,2
Texas,Austin,2
Utah,Salt Lake City,2
Vermont,Montpelier,2
Virginia,Richmond,2
Washington,Olympia,2
West Virginia,Charleston,2
Wisconsin,Madison,2
Wyoming,Cheyenne,2
